Id,Label,timeset,degree,modularity_class,vote_average0
665,665,,1,139,5.0
666,666,,3,1192,5.0
667,667,,0,135,7.0
668,668,,0,136,5.0
669,669,,3,1079,6.0
670,670,,1,505,5.0
671,671,,3,928,7.0
672,672,,0,137,7.0
673,673,,4,1103,6.0
674,674,,5,909,6.0
675,675,,3,1166,8.0
676,676,,0,138,7.0
677,677,,2,620,6.0
678,678,,1,1012,6.0
679,679,,3,949,5.0
680,680,,1,505,6.0
681,681,,2,1166,7.0
682,682,,5,1103,4.0
683,683,,6,1079,6.0
684,684,,4,139,8.0
685,685,,7,1195,6.0
686,686,,1,198,6.0
687,687,,2,939,7.0
688,688,,13,505,6.0
689,689,,1,140,7.0
690,690,,3,1166,8.0
691,691,,6,1568,6.0
692,692,,0,141,6.0
693,693,,1,1033,8.0
694,694,,6,1192,7.0
695,695,,5,928,7.0
696,696,,1,949,6.0
697,697,,2,1568,8.0
698,698,,2,505,7.0
699,699,,0,142,6.0
700,700,,1,1246,7.0
701,701,,2,499,5.0
702,702,,3,909,7.0
703,703,,2,497,6.0
704,704,,4,1166,6.0
705,705,,10,505,5.0
706,706,,4,1012,6.0
707,707,,2,1195,6.0
708,708,,1,406,6.0
709,709,,0,143,6.0
710,710,,0,144,7.0
711,711,,6,1079,7.0
712,712,,3,64,7.0
713,713,,2,928,7.0
714,714,,3,98,7.0
715,715,,1,145,5.0
716,716,,2,499,6.0
717,717,,0,146,6.0
718,718,,3,993,6.0
719,719,,0,147,7.0
720,720,,4,1012,6.0
721,721,,0,148,4.0
722,722,,1,556,7.0
723,723,,0,149,5.0
724,724,,0,150,7.0
725,725,,3,1166,5.0
726,726,,19,505,6.0
727,727,,0,151,6.0
728,728,,2,1063,7.0
729,729,,4,1568,6.0
730,730,,0,152,7.0
731,731,,2,1162,6.0
732,732,,1,3,6.0
733,733,,1,153,6.0
734,734,,8,1041,6.0
735,735,,1,499,5.0
736,736,,1,576,6.0
737,737,,0,154,6.0
738,738,,3,1246,6.0
739,739,,7,98,6.0
740,740,,0,155,6.0
741,741,,1,64,7.0
742,742,,5,855,7.0
743,743,,2,205,6.0
744,744,,10,1195,8.0
745,745,,1,497,5.0
746,746,,1,156,6.0
747,747,,6,928,6.0
748,748,,6,1162,5.0
749,749,,0,157,7.0
750,750,,3,1079,7.0
751,751,,4,64,6.0
752,752,,0,158,5.0
753,753,,0,159,6.0
754,754,,3,837,6.0
755,755,,4,345,6.0
756,756,,6,64,6.0
757,757,,1,1195,7.0
758,758,,1,855,6.0
759,759,,1,531,6.0
760,760,,2,993,6.0
761,761,,7,1195,6.0
762,762,,2,1079,6.0
763,763,,1,505,7.0
764,764,,1,1192,6.0
765,765,,2,98,7.0
766,766,,2,98,5.0
767,767,,2,160,5.0
768,768,,1,1166,5.0
769,769,,2,64,7.0
770,770,,3,161,7.0
771,771,,0,162,6.0
772,772,,1,163,6.0
773,773,,0,164,6.0
774,774,,4,499,7.0
775,775,,2,98,5.0
776,776,,4,1166,6.0
777,777,,0,165,6.0
778,778,,2,1268,5.0
779,779,,1,779,5.0
780,780,,5,505,6.0
781,781,,3,855,6.0
782,782,,4,928,5.0
783,783,,5,928,5.0
784,784,,2,1205,4.0
785,785,,3,25,7.0
